Tournament,Team Name,Player,Scene
CC2,SHASH for the CLASH,Andi Slobodien,SF
CC2,SHASH for the CLASH,Sam Weddle,PHX
CC2,SHASH for the CLASH,Hell Logsdon,CBUS
CC2,Go Flex Yourself,Kaylee Perkizas,SEA
CC2,Go Flex Yourself,Julie Denberger,SEA
CC2,Go Flex Yourself,Melanie Brown,SEA
CC2,Go Flex Yourself,Sean Bucy,SEA
CC2,Go Flex Yourself,Jay Bucy,SEA
CC2,Cobra Khive,Alex Gonzalez,PDX
CC2,Cobra Khive,Alberto Gonzalez,PDX
CC2,Cobra Khive,Andrew Seery,PDX
CC2,Cobra Khive,Nathan Vorhees,PDX
CC2,Cobra Khive,Alex Simchuk,PDX
CC2,Risky Beezness,Tyler Doyle,PHX
CC2,Risky Beezness,San,PHX
CC2,Risky Beezness,Liz Barrera,PHX
CC2,Risky Beezness,Max,PHX
CC2,Risky Beezness,Dustin,PHX
CC2,SMUT COFFEE,Dan Kruger,PDX
CC2,SMUT COFFEE,Dylan Higgins,PDX
CC2,SMUT COFFEE,Ray Wang,PHX
CC2,SMUT COFFEE,Chris Larson,PHX
CC2,SMUT COFFEE,Eric Van Kirk,PHX
CC3,Homecoming,Tyler Moloney,PHX
CC3,Homecoming,Andrew Kelley,PHX
CC3,Homecoming,Jeff Hochgesang,PHX
CC3,Homecoming,Toni Scarlett,PHX
CC3,Homecoming,Sam Weddle,PHX
CC3,#vanpattenscard,Alexander Lee,DFW
CC3,#vanpattenscard,Matt Abdou,PDX
CC3,#vanpattenscard,Jason Galginaitis,PDX
CC3,#vanpattenscard,Will Edmonson,DFW
CC3,#vanpattenscard,Ryan Hess,DFW
CC3,Rise Up Lights,Aaron Goldberg,CHI
CC3,Rise Up Lights,David Garzon,CHI
CC3,Rise Up Lights,Christina Norton,CHI
CC3,Rise Up Lights,Josh Biedenweg,SF
CC3,Rise Up Lights,DRay Williams,SF
CC3,Hollywood Reboot,David Walsh,LA
CC3,Hollywood Reboot,Kevin Marnell,SEA
CC3,Hollywood Reboot,Gabriel Sosa,SEA
CC3,Hollywood Reboot,Tressa Points,SEA
CC3,Hollywood Reboot,Helen Lau,CHI
CC3,Miller Luck,Tyler Doyle,PHX
CC3,Miller Luck,Mike Miller,CHI
CC3,Miller Luck,Ian Lukidis,CHI
CC3,Miller Luck,Heather Davis,SF
CC3,Miller Luck,Mark Howell,SLC
CC3,Les Champs-Élyse,Elyse Freeman,SLC
CC3,Les Champs-Élyse,Felix Yuan,SF
CC3,Les Champs-Élyse,Jessica Loginov,SF
CC3,Les Champs-Élyse,Crystal Buth,CHI
CC3,Les Champs-Élyse,Miranda Steele,SF
CC3,Snailor Jerry,Dan Shupp,SF
CC3,Snailor Jerry,Ryan Piaget,SF
CC3,Snailor Jerry,Derek Nomaddic,SF
CC3,Snailor Jerry,Brian McMahon,SF
CC3,Snailor Jerry,Gino Miglio,SF
CC3,TFG,Burton Flake,PHX
CC3,TFG,Jeremy Singletary,PHX
CC3,TFG,Kim Grosso,PHX
CC3,TFG,Sam Gramley,PHX
CC3,TFG,San,PHX
CC3,Cheetoh,Pierre LaFortune,SF
CC3,Cheetoh,Chris Baldwin,MPLS
CC3,Cheetoh,Kayla Grothaus,MPLS
CC3,Cheetoh,Master Joe,SFL
CC3,Cheetoh,Cesar Bustos,CHI
CC3,Sir HaTrick Stewart,Damish Shah,PDX
CC3,Sir HaTrick Stewart,Ara Roselani,PDX
CC3,Sir HaTrick Stewart,Marian Wu,NY
CC3,Sir HaTrick Stewart,Miranda Aguilar,PDX
CC3,Sir HaTrick Stewart,Thomas Hardy,PDX
CC3,The Mattrix™️,Matt Wu,SF
CC3,The Mattrix™️,Scott Wilkewitz,SF
CC3,The Mattrix™️,Steve Halili,SF
CC3,The Mattrix™️,Chris K,SF
CC3,The Mattrix™️,Kelly Kim,SF
CC3,Babysitter's Club,Ryan Knerr,STL
CC3,Babysitter's Club,Logan Barnett,PHX
CC3,Babysitter's Club,Kia Zarezadeh,PHX
CC3,Babysitter's Club,Jerry,STL
CC3,Babysitter's Club,Josh,OMA
CC3,Chill Chill Chill,Andrew Dotson,SF
CC3,Chill Chill Chill,Chris Dessonville,SF
CC3,Chill Chill Chill,Aaron Dimet,SF
CC3,Chill Chill Chill,Ben Oztaly,SF
CC3,Chill Chill Chill,Kendra Kop,SF
CC3,Down To Flex,Kaylee Perkizas,SEA
