Tournament,Team,Player,Scene
GDCV,Britney's New Legal Team,Tatertots,SF
GDCV,Los Que Si Juegan,Eduardo Martinez Banda,DFW
GDCV,Los Que Si Juegan,Heriberto Rios,DFW
GDCV,Los Que Si Juegan,Rosalinda Olivares,DFW
GDCV,Los Que Si Juegan,Charles Bentley,DFW
GDCV,Los Que Si Juegan,Carlos Trejo,DFW
GDCV,Snail Salon 💅,Elyse Freeman,SLC
GDCV,Snail Salon 💅,Jeff,SLC
GDCV,Snail Salon 💅,Treebones,
GDCV,Snail Salon 💅,Chuckberry,SF
GDCV,Snail Salon 💅,Keyboardskater,SLC
GDCV,Spawns of Satan,Hugo Meneses,KC
GDCV,Spawns of Satan,Kyle Gustafson,MKE
GDCV,Spawns of Satan,Jason Galginaitis,PDX
GDCV,Spawns of Satan,Heather Tayte,PDX
GDCV,Spawns of Satan,Josh H,KC
GDCV,War Bees,Rob Neuhaus,NYC
GDCV,War Bees,David Walsh,LAX
GDCV,War Bees,Miranda Steele,LAX
GDCV,War Bees,Melanie Brown,PDX
GDCV,War Bees,Nathan Palmer,MPLS
GDCV,abcDe,Sam Beckman,NYC
GDCV,abcDe,Wyatt Yeong,NYC
GDCV,abcDe,Prashant Sridhar,NYC
GDCV,abcDe,Brian Wong,NYC
GDCV,abcDe,Deanna Lopez,NYC
GDCV,Wu-Dang Clan,Matt Wu,SF
GDCV,Wu-Dang Clan,Dan Shupp,SF
GDCV,Wu-Dang Clan,Derek Nomaddic,SF
GDCV,Wu-Dang Clan,Kelly Kim,SF
GDCV,Wu-Dang Clan,Pierre LaFortune,SF
GDCV,Escape From New York,Andrew Daugherty,LAX
GDCV,Escape From New York,Ben Mills,LAX
GDCV,Escape From New York,Marian Wu,LAX
GDCV,Escape From New York,Nicole McKeon,LAX
GDCV,Escape From New York,Rusteen Honardoost,LAX
CSSwat1,No Fly List,Jc Statt,CIN
CSSwat1,No Fly List,Victoria Bauscher,CIN
CSSwat1,No Fly List,Caroline Vinke,CLT
CSSwat1,No Fly List,Kristian Andrewson,CLT
CSSwat1,No Fly List,Andrew Griner,CLT
CSSwat1,Runway J,Alex Lee,DFW
CSSwat1,Runway J,Ryan Hess,DFW
CSSwat1,Runway J,Marian Shades,NYC
CSSwat1,Runway J,Brian Aston,JAX
CSSwat1,Runway J,Charlie Bentley,DFW
CSSwat1,DCLT,Steve Parker,DC
CSSwat1,DCLT,Cheyenne Steel,CLT
CSSwat1,DCLT,Gabriel Gray,CLT
CSSwat1,DCLT,Rebecca-Robyn Kin,DC
CSSwat1,DCLT,James Brown,CLT
CSSwat1,KQB,Rob Neuhaus,NYC
CSSwat1,KQB,Jame,KQB
CSSwat1,KQB,Dan/funghoul,PHL
CSSwat1,KQB,Alex Hogan,CBUS
CSSwat1,KQB,Brian (snek),MKE
CSSwat1,Bombshell Bittys 5,John Koutroulakis,CLT
CSSwat1,Bombshell Bittys 5,Michelle Lutz,MPLS
CSSwat1,Bombshell Bittys 5,Heather Davis,CLT
CSSwat1,Bombshell Bittys 5,Jordan Navarra,CLT
CSSwat1,Bombshell Bittys 5,Todd Blatt,BMOR
CSSwat1,AB/DC,Victor Love,NYC
CSSwat1,AB/DC,Joey Arcana,NYC
CSSwat1,AB/DC,Santiago Andaluz,CHI
CSSwat1,AB/DC,Anthony Walls,NYC
CSSwat1,AB/DC,Paul Hillman,MPLS
CSSwat1,Say It With Your Chest,Bobby Boehl,CIN
CSSwat1,Say It With Your Chest,Nick Monger,CIN
CSSwat1,Say It With Your Chest,Spenser Kern,CIN
CSSwat1,Say It With Your Chest,Kyle Shipwash,CLT
CSSwat1,Say It With Your Chest,Kyle Gustafson,MKE
CSSwat1,Yay Newfriend,Ori Perl,DC
CSSwat1,Yay Newfriend,Sean Creel,DC
CSSwat1,Yay Newfriend,Jason Guy,DC
CSSwat1,Yay Newfriend,Michael Ohr,DC
CSSwat1,Yay Newfriend,Sqwd,DC
CSSwat1,Cat.jpg,Emma Atlas,DC
CSSwat1,Cat.jpg,Abby Cossentino,DC
CSSwat1,Cat.jpg,Sebastian Joseph,DC
CSSwat1,Cat.jpg,Joseph Schiarizzi 🐌🐌,DC
CSSwat1,Cat.jpg,Ryan Cole,DC
CSSwat1,Tem Nem,Sam Beckman,NYC
CSSwat1,Tem Nem,Deanna Lopez,NYC
CSSwat1,Tem Nem,Brian Kang,NYC
CSSwat1,Tem Nem,Daphane Love,NYC
CSSwat1,Tem Nem,Prashant Sridhar,NYC
CSSwat1,Stinger Bell,Dominic Pham,BMOR
CSSwat1,Stinger Bell,Megan Richards,BMOR
CSSwat1,Stinger Bell,Chris Preisinger,BMOR
CSSwat1,Stinger Bell,Abby Cossentino,BMOR
CSSwat1,Stinger Bell,Billy Definbaugh,BMOR
CSSwat1,"F, Lights, Cool",Nick Davis,CHI
CSSwat1,"F, Lights, Cool",Eric Clarkson,BMOR
CSSwat1,"F, Lights, Cool",Woody Stanfield,CHI
CSSwat1,"F, Lights, Cool",Marshall B,CHI
CSSwat1,"F, Lights, Cool",Racer X,NYC
BBR,Alex,Abby Cossentino,
BBR,Alex,Alex Lee,
BBR,Alex,Ryan Piaget,
BBR,Alex,Ryan Rismon,
BBR,Alex,Sam Tregillus,
BBR,Brian,Alex Hogan,
BBR,Brian,Brian Lee,
BBR,Brian,Matt Abdou,
BBR,Brian,Eric Merritt,
BBR,Brian,Mark Mycron,
BBR,Alyssa,Alyssa DeMoss,
BBR,Alyssa,Chris Cads,
BBR,Alyssa,Jason Mann,
BBR,Alyssa,Meghan O'Brien,
BBR,Alyssa,Ryan Waizy,
BBR,Arde,"Matthew ""Arde"" Zwilling",
BBR,Arde,Belia Darzu,
BBR,Arde,Josh Debonis,
BBR,Arde,Katie Rhodes,
BBR,Arde,Steve Halili,
BBR,Bert,Bert Wierenga,
BBR,Bert,Chuck Bressan,
BBR,Bert,Ian Ludikis,
BBR,Bert,Marshall B,
BBR,Bert,Nikita Mikros,
BBR,Crystal,Crystal Buth,
BBR,Crystal,Devon Ray Williams,
BBR,Crystal,John Woodruff,
BBR,Crystal,Sam Weddle,
BBR,Crystal,Stefen Showers,
BBR,Dan,Dan Shupp,
BBR,Dan,Lev Bakin,
BBR,Dan,Michelle Lutz,
BBR,Dan,Mikal Floyd-Pruitt,
BBR,Dan,Todd Blatt,
BBR,Toshi,Ben Dvorachek,
BBR,Toshi,Felix Yuan,
BBR,Toshi,Melanie Szemis,
BBR,Toshi,Ryan Knerr,
BBR,Toshi,Toshi Satow,
BBR,Jess,Heather Tayte,
BBR,Jess,Jason Steckey,
BBR,Jess,Jessica Loginov,
BBR,Jess,Kyle Gustafson,
BBR,Jess,Shelby Renee Nuncio,
BBR,Master Joe,Austin Waters,
BBR,Master Joe,Justin Time,
BBR,Master Joe,Katie Kasten,
BBR,Master Joe,Master Joe,
BBR,Master Joe,Nathan Kasten,
BBR,Burton,Anjail Floyd-Pruit,
BBR,Burton,Burton Flake,
BBR,Burton,Micah Wallace,
BBR,Burton,Nathan Palmer,
BBR,Burton,Ryan Vile,
BBR,Nick,Brian Aston,
BBR,Nick,Tony Rojo,
BBR,Nick,Heidi Jones,
BBR,Nick,Nick Davis,
BBR,Nick,Woody Stanfield,
BBR,Dre,Dre Quan,
BBR,Dre,Jenn Gilbert,
BBR,Dre,Rachel Rohrbach,
BBR,Dre,Santiago Andaluz Ruiz,
BBR,Dre,Spencer Burton,
BBR,Rob,Brian Lucas,
BBR,Rob,Chris Dessonville,
BBR,Rob,Jason Galginaitis,
BBR,Rob,Rob Neuhaus,
BBR,Rob,Brian (snek),
BBR,Cesar,Brian Mcmahon,
BBR,Cesar,Cesar Bustos,
BBR,Cesar,Julie King,
BBR,Cesar,Ola Lisowski,
BBR,Cesar,Quinn Mazure,
BBR,Eduardo,Connor Venteicher,
BBR,Eduardo,Andrew Dotson,
BBR,Eduardo,Eduardo Martinez Banda,
BBR,Eduardo,Steve Ttitra,
BBR,Eduardo,Taylor Christianson,
BBR,Chase,Andrew Parkinson,
BBR,Chase,Chase Reeves,
BBR,Chase,Hilton Jones,
BBR,Chase,Mario Herrera,
BBR,Chase,Shawn Masog,
HCC21,Sponsored by FIGHT MILK Official Drink of the UFC,Joe Perugia,SFL
HCC21,Sponsored by FIGHT MILK Official Drink of the UFC,Donald Sopcheck,SFL
HCC21,Sponsored by FIGHT MILK Official Drink of the UFC,Michael Levinson,SFL
HCC21,Sponsored by FIGHT MILK Official Drink of the UFC,Ryan McAllister,SFL
HCC21,Sponsored by FIGHT MILK Official Drink of the UFC,Ricard,SFL
HCC21,FIRE NATION,Joseph Miller,SFL
HCC21,FIRE NATION,Patrick Abramovic,SFL
HCC21,FIRE NATION,Jabin Thomas,SFL
HCC21,FIRE NATION,Anthony Hall,SFL
HCC21,FIRE NATION,Heather Browning,SFL
HCC21,Yes Beer No Jerks,Brian Malloy,SFL
HCC21,Yes Beer No Jerks,Fez Leckey,SFL
HCC21,Yes Beer No Jerks,Ryan Busser,SFL
HCC21,Yes Beer No Jerks,David Pavao,SFL
HCC21,Yes Beer No Jerks,Alex Santiago,SFL
HCC21,RUN SFL,Michael Floyd,SFL
HCC21,RUN SFL,Joseph Becerra,SFL
HCC21,RUN SFL,Richard Van,SFL
HCC21,RUN SFL,JP Singian,SFL
HCC21,RUN SFL,Sebastian Clavero,SFL
HCC21,Clashing Until Midnight,Brian Aston,JAX
HCC21,Clashing Until Midnight,Jordan Trajano,JAX
HCC21,Clashing Until Midnight,Matthew Stevenson,JAX
HCC21,Clashing Until Midnight,Monica West,JAX
HCC21,Clashing Until Midnight,Nathan Morris,JAX
HCC21,sallaD,Katie Kasten,DFW
HCC21,sallaD,Nathan Kasten,DFW
HCC21,sallaD,Alex Lee,DFW
HCC21,sallaD,Stephen Renfroe,DFW
HCC21,sallaD,Will Edmonson,DFW
HCC21,The QuaranTeam,Kyle Shipwash,CLT
HCC21,The QuaranTeam,Monica Watson,MPLS
HCC21,The QuaranTeam,Keli Gilbertson,MPLS
HCC21,The QuaranTeam,David Kirk,CHI
HCC21,The QuaranTeam,Andrew Griner,CLT
HCC21,Simp Chimps,Brian Kang,NYC
HCC21,Simp Chimps,David Garzon,CHI
HCC21,Simp Chimps,Joel Stockard,KC
HCC21,Simp Chimps,Rob Neuhaus,NYC
HCC21,Simp Chimps,Aaron Goldberg,CHI
HCC21,Center for Ants,Alex Hogan,CBUS
HCC21,Center for Ants,Patrick Lloyd,DFW
HCC21,Center for Ants,Ashley Buchanan,SFL
HCC21,Center for Ants,Danielle Klutcharch,SFL
HCC21,Center for Ants,Julius Perez,DFW
HCC21,Hot Frog Summer,Ammar Rica,CLT
HCC21,Hot Frog Summer,Chris Waterman,JAX
HCC21,Hot Frog Summer,Evin Schmidt,JAX
HCC21,Hot Frog Summer,Kristen Ferris,JAX
HCC21,Hot Frog Summer,Noah Sterling,JAX
HCC21,🐝-ch Please!,Anthony Paredes,NYC
HCC21,🐝-ch Please!,Marian Shades ,NYC
HCC21,🐝-ch Please!,Austin Waters,ATX
HCC21,🐝-ch Please!,Prashant Sridhar,NYC
HCC21,🐝-ch Please!,Kevin Constantino,NYC
HCC21,Chile Con Queso Blanco 2,Carlos Trejo,DFW
HCC21,Chile Con Queso Blanco 2,Ryan Hess,DFW
HCC21,Chile Con Queso Blanco 2,Rodrigo Gonzalez,DFW
HCC21,Chile Con Queso Blanco 2,Eduardo Martinez Banda,DFW
HCC21,Chile Con Queso Blanco 2,Julian Ochoa,DFW
