Tournament,Team,Player,Scene
GDCV,Chad Lads,Cesar Bustos,CHI
GDCV,Chad Lads,Lex Wilkins,PDX
GDCV,Chad Lads,Josh Biedenweg,SF
GDCV,Chad Lads,Lev Bakin,MAD
GDCV,Chad Lads,David Garzon,CHI
GDCV,Continuous Beelivery,Chris Dessonville,SF
GDCV,Continuous Beelivery,Sam Sumo,SF
GDCV,Continuous Beelivery,Maisie Sumo,SF
GDCV,Continuous Beelivery,Higa,SF
GDCV,Continuous Beelivery,Thomas Sumo,SF
GDCV,Can't We All Enjoy Bojangles?,Jason Maxwell,CHA
GDCV,Can't We All Enjoy Bojangles?,Chase Reeve,CHA
GDCV,Can't We All Enjoy Bojangles?,Micah Wallace,CHA
GDCV,Can't We All Enjoy Bojangles?,Andrew Griner,CLT
GDCV,Can't We All Enjoy Bojangles?,Kristian Andrewson,CLT
GDCV,Dope Shit Required,Dylan Lee,PDX
GDCV,Dope Shit Required,Matt Abdou,PDX
GDCV,Dope Shit Required,Michael Esparza,CHI
GDCV,Dope Shit Required,Christina Norton,CHI
GDCV,Dope Shit Required,Melanie Szemis,PDX
GDCV,Death Saving Throws,Alex Hogan,CBUS
GDCV,Death Saving Throws,Hayley Huge,CIN
GDCV,Death Saving Throws,JC Statt,CIN
GDCV,Death Saving Throws,Caroline Vinke,CLT
GDCV,Death Saving Throws,Keoni Moniz,SF
GDCV,Who Dat,Dre Quan,CHI
GDCV,Who Dat,Tiana Tan,NYC
GDCV,Who Dat,Steve Halili,SF
GDCV,Who Dat,Felix Yuan,SF
GDCV,Who Dat,Sam Weddle,SF
GDCV,Bonus Damage,Burton Flake,PHX
GDCV,Bonus Damage,Max Sumeta,PHX
GDCV,Bonus Damage,Liz Barrera,PHX
GDCV,Bonus Damage,Taylor Berrett,PDX
GDCV,Bonus Damage,Salty,PHX
GDCV,Freeattle Frees,Richard T,SEA
GDCV,Freeattle Frees,Cat,SEA
GDCV,Freeattle Frees,Joey LeCompte,SEA
GDCV,Freeattle Frees,Jared Gamble,SEA
GDCV,Freeattle Frees,Julie Denberger,SEA
GDCV,Asynchronous Floundering,Woody Stanfield,CHI
GDCV,Asynchronous Floundering,Sarah Greenwood,NYC
GDCV,Asynchronous Floundering,Dan Barron,CHI
GDCV,Asynchronous Floundering,Johnmark Faris,PDX
GDCV,Asynchronous Floundering,Ryan Waisner,CHI
GDCV,Pfizer Nation,Master Joe,SFL
GDCV,Pfizer Nation,Heather Browning,SFL
GDCV,Pfizer Nation,Anthony Hall,SFL
GDCV,Pfizer Nation,Jabin Thomas,SFL
GDCV,Pfizer Nation,Patrick Abramovic,SFL
GDCV,Antibodied,Toshi Satow,SEA
GDCV,Antibodied,Rachel Rohrbach,SEA
GDCV,Antibodied,Kevin Marnell,SEA
GDCV,Antibodied,Scott Wilkewitz,SEA
GDCV,Antibodied,Chris K,SEA
GDCV,I Column Like I See Em,Tyler Moloney,PHX
GDCV,I Column Like I See Em,Imandra McKenzie,PDX
GDCV,I Column Like I See Em,Ian Lukidis,CHI
GDCV,I Column Like I See Em,Nick Higgins,PDX
GDCV,I Column Like I See Em,Nick Davis,CHI
GDCV,SF AF,Jessica Loginov,SF
GDCV,SF AF,Andi Slobodien,SF
GDCV,SF AF,Ryan Piaget,SF
GDCV,SF AF,DRay Williams,SF
GDCV,SF AF,Brian McMahon,SF
GDCV,sallaD,Alex Lee,DFW
GDCV,sallaD,Stephen Renfroe,DFW
GDCV,sallaD,Will Edmonson,DFW
GDCV,sallaD,Katie Kasten,DFW
GDCV,sallaD,Nathan Kasten,DFW
GDCV,Violent J,Gino Miglio,SF
GDCV,Violent J,Ben Oztaly,SF
GDCV,Violent J,Rebecca Reisner,SF
GDCV,Violent J,Ash Ramirez,SF
GDCV,Violent J,Aaron Tran,CLT
GDCV,Bing Bong,Brian Lucas,ATX
GDCV,Bing Bong,Mario Herrera,ATX
GDCV,Bing Bong,Austin Waters,ATX
GDCV,Bing Bong,Abby Cossentino,BMOR
GDCV,Bing Bong,Ryan Hess,DFW
GDCV,Mountain Drew,Andrew Dotson,SF
GDCV,Mountain Drew,Kendra Kop,SF
GDCV,Mountain Drew,Shirley,SF
GDCV,Mountain Drew,Matt Scheiffer,SF
GDCV,Mountain Drew,Steven Pulliam,PDX
GDCV,Britney's New Legal Team,Brian Lee,SF
GDCV,Britney's New Legal Team,Ryan W. (Arguas),SF
GDCV,Britney's New Legal Team,CriCri,SF
GDCV,Britney's New Legal Team,Free Microwave,SF
